year,vegetation_proxy
2001,0.44448654770049545
2002,0.4431252015916168
2003,0.4433247561129518
2004,0.45028622976651067
2005,0.449460684401213
2006,0.446314798094492
2007,0.44817020118624723
2008,0.43803375570745334
2009,0.4416832007963359
2010,0.4508612110865605
2011,0.4478368145137603
2012,0.4476861225876699
2013,0.4508930812030635
2014,0.44834691830698903
2015,0.4576213983932825
2016,0.4613936934591251
2017,0.45551365627665974
2018,0.44934459271644267
2019,0.45074686326451624
2020,0.4562438788524286
2021,0.45577559744658164
2022,0.4495389650528993
2023,0.4567282170404928
2024,0.4642429611807187
