year,region,vegetation_proxy
2001,Amazon,0.7654787722493782
2001,Western US,0.2356629375801786
2001,Midwest,0.3851646649973189
2001,Central America,0.7599309743565211
2001,Andes,0.5609973709226751
2001,Canada/Arctic,0.28930249831910476
2002,Amazon,0.7706876775073248
2002,Western US,0.22765158494410462
2002,Midwest,0.3614915577694198
2002,Central America,0.7782460654340024
2002,Andes,0.567451387201957
2002,Canada/Arctic,0.287157241102416
2003,Amazon,0.7660674404983188
2003,Western US,0.23231437005457356
2003,Midwest,0.3776362515427828
2003,Central America,0.7611808160838552
2003,Andes,0.5589886849072127
2003,Canada/Arctic,0.28734866087321753
2004,Amazon,0.7696930319067764
2004,Western US,0.2379015915984499
2004,Midwest,0.38980736305588737
2004,Central America,0.7747265990262462
2004,Andes,0.5705515721278069
2004,Canada/Arctic,0.2815695223859559
2005,Amazon,0.7698941851178708
2005,Western US,0.2500362566674239
2005,Midwest,0.390595998304997
2005,Central America,0.7622334853553541
2005,Andes,0.5673283188589235
2005,Canada/Arctic,0.28438990493805594
2006,Amazon,0.7728957617802201
2006,Western US,0.23265981749500966
2006,Midwest,0.3798141662922887
2006,Central America,0.7794358878317311
2006,Andes,0.5641769272717413
2006,Canada/Arctic,0.2892697847643066
2007,Amazon,0.7605174101499034
2007,Western US,0.23595989313017413
2007,Midwest,0.3958571342798813
2007,Central America,0.7794171766116567
2007,Andes,0.5640326623098374
2007,Canada/Arctic,0.29634915391109795
2008,Amazon,0.75243496648779
2008,Western US,0.22839054248413168
2008,Midwest,0.37630371316151406
2008,Central America,0.7727422421525246
2008,Andes,0.5568641362581591
2008,Canada/Arctic,0.28482278354006146
2009,Amazon,0.7688241007464391
2009,Western US,0.23139597280671848
2009,Midwest,0.392450611157112
2009,Central America,0.7560208895486639
2009,Andes,0.5551632741542352
2009,Canada/Arctic,0.2799885399644635
2010,Amazon,0.7574468123984688
2010,Western US,0.24463088975445688
2010,Midwest,0.40337930863745336
2010,Central America,0.7699978009043822
2010,Andes,0.5644482758000025
2010,Canada/Arctic,0.2989636422846044
2011,Amazon,0.7662438794496569
2011,Western US,0.24352323296578948
2011,Midwest,0.3921637313726821
2011,Central America,0.7717416555263926
2011,Andes,0.5656188317722766
2011,Canada/Arctic,0.296039683709554
2012,Amazon,0.7606747183694257
2012,Western US,0.23039851922947216
2012,Midwest,0.3785546574173159
2012,Central America,0.7783996595952154
2012,Andes,0.567906519380592
2012,Canada/Arctic,0.3024588476703638
2013,Amazon,0.7744634059410472
2013,Western US,0.2413634495832101
2013,Midwest,0.3939858196553952
2013,Central America,0.7712160638979662
2013,Andes,0.5682969481180625
2013,Canada/Arctic,0.30033413852421575
2014,Amazon,0.7684414942367378
2014,Western US,0.2430185609019348
2014,Midwest,0.38483908921388177
2014,Central America,0.7727156835665929
2014,Andes,0.5642809854219764
2014,Canada/Arctic,0.29244512217446217
2015,Amazon,0.7716862944751971
2015,Western US,0.2490205823556879
2015,Midwest,0.40155264477738756
2015,Central America,0.7630787865411743
2015,Andes,0.5620331033981212
2015,Canada/Arctic,0.3024296386726553
2016,Amazon,0.7680437670614361
2016,Western US,0.24984685087307287
2016,Midwest,0.4127441526696538
2016,Central America,0.7786687159970282
2016,Andes,0.5775143995455003
2016,Canada/Arctic,0.30914797399485716
2017,Amazon,0.7718218454298768
2017,Western US,0.24154196357245591
2017,Midwest,0.3992864454967018
2017,Central America,0.7858083036882545
2017,Andes,0.5802000272603146
2017,Canada/Arctic,0.29814793998896805
2018,Amazon,0.7690314850441262
2018,Western US,0.23846592410205683
2018,Midwest,0.38686880917233707
2018,Central America,0.7832007162579506
2018,Andes,0.5630063390289839
2018,Canada/Arctic,0.2915236450491179
2019,Amazon,0.7693495716221533
2019,Western US,0.2478488474348548
2019,Midwest,0.3931060742741865
2019,Central America,0.7650592259091503
2019,Andes,0.5650675553102361
2019,Canada/Arctic,0.29282266807154134
2020,Amazon,0.7784942709682923
2020,Western US,0.23899367985687797
2020,Midwest,0.3897981208787525
2020,Central America,0.7821451976012487
2020,Andes,0.5766253389465641
2020,Canada/Arctic,0.30773432097654235
2021,Amazon,0.7655866843287398
2021,Western US,0.23057500375519308
2021,Midwest,0.40296765631670484
2021,Central America,0.7903996124183897
2021,Andes,0.5706893316683165
2021,Canada/Arctic,0.30615469868648665
2022,Amazon,0.7638968511431852
2022,Western US,0.23302717567327738
2022,Midwest,0.3764003710523834
2022,Central America,0.7844819390731632
2022,Andes,0.5711654724556011
2022,Canada/Arctic,0.30244571439150614
2023,Amazon,0.7719697273616706
2023,Western US,0.24414386008862196
2023,Midwest,0.40900271768305635
2023,Central America,0.7790455105800842
2023,Andes,0.5763906624492331
2023,Canada/Arctic,0.3071667642279052
2024,Amazon,0.7720762719209356
2024,Western US,0.24257301296700753
2024,Midwest,0.40687914733481806
2024,Central America,0.7811478571103108
2024,Andes,0.5845919777679331
2024,Canada/Arctic,0.31111844850458925
